method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,weight_q99,infinite_interval_rate,domain_auc
split_cp,S1,20260776,0.8187912335910112,0.8184,1.6375824671820225,2.767862582705535,0.933,0.839,0.808,0.759,0.753,nan,nan,nan,nan,nan
oracle_wcp,S1,20260776,1.1965477979758896,0.9438,2.3930955959517792,2.7028909807547308,0.99,0.964,0.942,0.914,0.909,201.15463556866825,10.910268426298737,nan,0.0,nan
estimated_wcp,S1,20260776,1.1972572727436208,0.9446,2.3945145454872416,2.6945932199310105,0.989,0.966,0.944,0.923,0.901,198.34142543169574,9.583759269053735,9.245784389790934,0.0,0.8011079999999999
split_cp,S1,20260777,0.8284411508658429,0.8368,1.656882301731686,2.6312867441204872,0.927,0.861,0.828,0.777,0.791,nan,nan,nan,nan,nan
oracle_wcp,S1,20260777,1.010703747209659,0.9034,2.0214074944193174,2.527971617338706,0.965,0.922,0.905,0.859,0.866,217.31319233730233,11.004369741503227,nan,0.0,nan
estimated_wcp,S1,20260777,1.0034520617397023,0.8986,2.0069041234794045,2.5620440961114617,0.968,0.919,0.884,0.872,0.85,230.05019372952847,8.02822697220511,7.997974640411762,0.0,0.77542
split_cp,S1,20260778,0.8114179094461956,0.8174,1.622835818892391,2.7646781724752727,0.931,0.86,0.781,0.763,0.752,nan,nan,nan,nan,nan
oracle_wcp,S1,20260778,1.0735346465417555,0.9164,2.147069293083511,2.602048142100704,0.977,0.937,0.888,0.909,0.871,210.37236394162628,10.837538859696627,nan,0.0,nan
estimated_wcp,S1,20260778,1.0727011236694959,0.9166,2.1454022473389918,2.6102696881153706,0.97,0.938,0.899,0.895,0.881,211.85088051392347,9.228957783588868,8.626878953428506,0.0,0.799884
split_cp,S1,20260779,0.7688674633602401,0.8018,1.53773492672048,2.682809244967429,0.914,0.816,0.798,0.757,0.724,nan,nan,nan,nan,nan
oracle_wcp,S1,20260779,0.9359196444268281,0.885,1.8718392888536561,2.49400500104495,0.955,0.898,0.887,0.849,0.836,213.1659414170312,10.742689714819452,nan,0.0,nan
