method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,S0,20260812,0.7538104017446661,0.8878,1.507620803489332,2.100135312661199,0.994,0.959,0.906,0.82,0.76
m0_gaussian,S0,20260813,0.7474452476699434,0.8892,1.4948904953398865,2.1115026885591432,0.994,0.967,0.913,0.829,0.743
split_cp,S0,20260813,0.7997585342547274,0.9082,1.5995170685094544,2.1095055285520625,0.995,0.979,0.928,0.855,0.784
m0_gaussian,S0,20260814,0.757504029706862,0.8948,1.5150080594137239,2.08695516348347,0.993,0.966,0.916,0.833,0.766
split_cp,S0,20260814,0.7624750759724991,0.896,1.524950151944998,2.086508669677931,0.993,0.966,0.917,0.836,0.768
m0_gaussian,S0,20260815,0.7729438079427404,0.8922,1.5458876158854808,2.0949633492246287,1.0,0.97,0.908,0.826,0.757
split_cp,S0,20260815,0.7693651918060819,0.8908,1.5387303836121635,2.0955724743684456,1.0,0.969,0.907,0.825,0.753
m0_gaussian,S0,20260816,0.7466953891913634,0.8862,1.4933907783827267,2.092634102873421,0.995,0.958,0.914,0.825,0.739
split_cp,S0,20260816,0.7526576307040089,0.889,1.505315261408018,2.0911712105135916,0.995,0.961,0.916,0.829,0.744
m0_gaussian,S0,20260817,0.7497683340980026,0.89,1.4995366681960052,2.1069549352554886,0.997,0.965,0.912,0.829,0.747
split_cp,S0,20260817,0.7545735589504534,0.8922,1.5091471179009073,2.106091174731757,0.997,0.966,0.914,0.832,0.752
m0_gaussian,S0,20260818,0.7478878346078409,0.8882,1.495775669215682,2.1345884217124818,1.0,0.97,0.909,0.836,0.726
split_cp,S0,20260818,0.7545358626475014,0.8908,1.509071725295003,2.1331569314678207,1.0,0.971,0.91,0.84,0.733
m0_gaussian,S0,20260819,0.7706527137582663,0.8992,1.5413054275165323,2.0736663444782586,0.997,0.972,0.913,0.847,0.767
split_cp,S0,20260819,0.7763917866511887,0.9018,1.5527835733023774,2.0737087500622047,0.997,0.975,0.916,0.849,0.772
m0_gaussian,S0,20260820,0.7859159124777435,0.9008,1.5718318249554868,2.080174937047909,0.997,0.976,0.923,0.844,0.764
split_cp,S0,20260820,0.8240451157917092,0.9142,1.6480902315834187,2.0865556021692084,0.997,0.979,0.941,0.865,0.789
m0_gaussian,S0,20260821,0.8096362777944894,0.9078,1.6192725555889786,2.105285657875504,0.996,0.969,0.925,0.847,0.802
